code,name,market
1301,極洋,東証1部
1305,ETFTPX,東証
1306,TOPIX投,東証
1308,上場TPX,東証
1309,上証50連,東証
1310,ETF･コア30,東証
1311,TOPIX30,東証
1312,RN小型コア,東証
1313,KODEX200,東証
1314,上場新興,東証
1319,300投信,東証
1319,300投信,札証
1319,300投信,福証
1320,ETF225,東証
1321,225投信,東証
1322,上場パンタ,東証
1323,南ア40,東証
1324,RTS連動,東証
1325,ボベスパ,東証
1326,SPDRゴール,東証
1327,EASY商品,東証
1328,金連動,東証
1329,iS225,東証
1330,上場225,東証
1332,日水,東証1部
1333,マルハニチロ,東証1部
1343,REIT-ETF,東証
1344,MXSコア30,東証
1345,上場Jリート,東証
1346,MXS225,東証
1347,上場グリチ,東証
1348,MXSトピクス,東証
1349,アジア債券,東証
1352,ホウスイ,東証1部
1356,TPXベア2,東証
1357,日経ダブ,東証
1358,上場2倍,東証
1360,日経ベア2,東証
1361,iS米HY債,東証
1362,iS新興債,東証
1363,iS米国債,東証
1364,iSJPX400,東証
1365,225ダブル,東証
1366,225Dベア,東証
1367,TPXダブル,東証
1368,TPXDベア,東証
1369,DIAM225,東証
1376,カネコ種,東証1部
1377,サカタのタネ,東証1部
1379,ホクト,東証1部
1380,秋川牧園,JQスタンダード
1381,アクシーズ,JQスタンダード
1382,ホーブ,JQスタンダード
1383,ベルグアース,JQスタンダード
1384,ホクリヨウ,東証1部
1385,UBSユーロ50,東証
1386,UBS欧州,東証
1387,欧通貨圏,東証
1388,欧州小型,東証
1389,UBS英大,東証
1390,UBSアジア,東証
1391,UBSスイス,東証
1392,UBS英国,東証
1393,UBS米国,東証
1394,UBS先進,東証
1397,SMAM225,東証
1398,SMAMJリート,東証
1399,上場ボラ,東証
1400,ルーデン,JQグロース
1401,エムビーエス,東証マザーズ
1401,エムビーエス,福証Q-Board
1407,ウエストHD,JQスタンダード
1408,サムシングHD,JQグロース
1414,ショーボンド,東証1部
1417,ミライトHD,東証1部
1418,インターライフ,JQスタンダード
1419,タマホーム,東証1部
1419,タマホーム,福証
1420,サンヨーH,東証1部
1429,日本アクア,東証マザーズ
1430,ファーストコポ,東証1部
1431,エスケーホーム,福証Q-Board
1432,動力,東証TPM
1433,ベステラ,東証マザーズ
1434,JESCOHD,東証2部
1435,インベスターC,東証1部
1436,フィット,東証マザーズ
1437,ピースリビン,東証TPM
1456,225ベア,東証
1457,TPXベア,東証
1458,楽天Dブル,東証
1459,楽天Dベア,東証
1460,MXSJクオ,東証
1464,D400ダブ,東証
1465,DW400ベア,東証
1466,J400Dベア,東証
1467,J400ブル,東証
1468,J400ベア,東証
1469,400ベア2,東証
1470,J400レバ,東証
1471,J400インバ,東証
1472,J400ダブ,東証
1473,DIAMトピ,東証
